	Tweets	Sentiment
0	"RT @indusdotnews: Are there any accomplishments of the Modi government?

Watch Ashok Swain’s analysis in News Wire with @ayza_omar. 2/2

Wa…"	[1]
1	"RT @IndiaToday: #LokSabhaElections2019
Cross-border terrorists love Mr Modi more: Congress spokesperson @JhaSanjay
#ElectionNewstrack LIVE…"	[1]
2	"@sakshijoshii Vote for BJP
Modi vs Pappu &amp; Maya mamta"	[1]
3	"RT @rakeshfilm: As promised, #Gujarat2002 story that first brought (PM) #Modi to national attention.
Asli #ModiBiopic. Free viewing till en…"	[0]
4	"RT @abishekbagchi: India's Export Numbers:

UPA-2 

2008-09: 8.4 Lakh Crore
2013-14: 19 Lakh Crore ( 126 % in 5 years)

NDA-2
2013-14: 19 L…"	[0]
5	RT @sardesairajdeep: Breaking now on @IndiaToday : Election Commission stops release of Modi biopic till after elections	[1]
6	RT @vinayak_jain: Tomorrow is big day for us. Do send a small prayer for everything to start off well, and for tomorrow to be an auspicious…	[1]
7	"RT @hiambuj: Narendra Modi's Pakistan relations EXPLAINED.
Watch till end. https://t.co/sHQsBXvrNb"	[0]
8	RT @Dayweekaa: Salute these 900 artists for voicing a support to PM @narendramodi. It takes a lot to show such spine when you have an ecosy…	[1]
9	RT @sushantsareen: Separatists at wits end wondering what game their paki masters are playing...putting them on the job of trolling Modi ev…	[0]
10	RT @saffronarya: @Kasheer_suneel @chowkidaardoval This @raptor_fossil is a mulla from surat. His real name is Rehan Khan and he has three w…	[0]
11	RT @AsYouNotWish: Kudos to this @News18India reporter for showing the full story on finding out the truth. A woman lied to him about Modi G…	[1]
12	Narendra Modi to News18: Why is 'secular brigade' silent on Mayawati's appeal for Muslim votes? EC must take note… https://t.co/w1taGl4ccN	[1]
13	"RT @dhruv_rathee: 👉 No salary for 1.7 Lakh BSNL employees for first time in history 

👉 No salary for Statue of Unity workers since 3 month…"	[1]
14	RT @aajtak: राहुल गांधी ने फिर प्रधानमंत्री नरेंद्र मोदी को भ्रष्टाचार पर बहस करने की चुनौती दी #LokSabhaElections2019 https://t.co/UqHlaoz…	[0]
15	"RT @nailainayat: Nawaz Sharif: stop supporting terrorists or we will be isolated.
PTI: ghaddar ghaddar, Modi ka yaar

Imran Khan: Pakistan…"	[0]
16	"#AayegaTohModiHi kuchh v kar lo jalne walo... bcz Niyat saaf hai.. he thinks of #NationFirst 

Why should modi requ… https://t.co/RiIXGkLg9Z"	[0]
17	"RT @MODIfiedTamilan: Students applaused &amp; cheered after seeing #Modi ji video in Q&amp;A program arranged by @KartiPC

👉1st Mic backfired 😂
👉Sc…"	[1]
18	RT @AdityaRajKaul: What a day! Pakistan PM Imran Khan bats for return of PM Narendra Modi to power in India for peace with Pakistan. Guess…	[0]
19	@iScrew Sir how many seats will Congress get in Gujarat?. If they can get at least 10 to 12 seats it will puncture… https://t.co/CiiGEfktc0	[1]
20	"RT @nailainayat: Nawaz Sharif: stop supporting terrorists or we will be isolated.
PTI: ghaddar ghaddar, Modi ka yaar

Imran Khan: Pakistan…"	[0]
21	@suhasinih @the_hindu There are very large number of Political Pundits &amp; Intelligent people in India Pakistan and o… https://t.co/4P5Yi3BRzy	[1]
22	RT @SengeHSering: If #ImranKhan wants to solve Kashmir then instead of talking to PM Modi, he needs to talk to his military general &amp; ensur…	[0]
